operatingGrossMargin, operatingProfitRate,preTaxNetInterestRate,afterTaxNetInterestRate,cashFlowpershare,,perShareNetProfitBeforeTax,regularNetProfitGrowthRate,quickRatio
0.622176739,0.999065454,0.797521714,0.809405795,0.322946877,,0.176169315,0.68933018,0.022852523
0.607446057,0.999029981,0.797465824,0.809370902,0.327084954,,0.181667545,0.689529416,0.012931588
0.618933683,0.999058637,0.797444381,0.809367126,0.329631464,,0.177449725,0.689904111,0.005050612
0.6095072,0.999052397,0.797413255,0.80932312,0.329383886,,0.173834451,0.689273281,0.004563393
0.602956226,0.999024781,0.797417128,0.809331192,0.328252104,,0.178278226,0.689397323,0.004270812
0.611762925,0.998925064,0.797046237,0.808992679,0.320435736,,0.160653762,0.689277436,0.004348168
0.626544055,0.999099309,0.797512168,0.8094028,0.325776332,,0.179633953,0.689365728,0.004628896
0.609737817,0.999111788,0.797571239,0.80944876,0.331895027,,0.185960684,0.689569782,0.012717611
0.60202655,0.998982376,0.797502899,0.809400066,0.325245809,,0.178428862,0.68959676,0.007893453
0.599115006,0.998972554,0.797240882,0.809175866,0.313185259,,0.139639979,0.689099177,0.001933905
0.599987028,0.998908888,0.797290547,0.809222607,0.312690104,,0.165549446,0.687989374,0.001388669
0.618868822,0.999014036,0.79738033,0.809307105,0.322345618,,0.169993221,0.689701702,0.002473527
0.601168942,0.998999939,0.797439539,0.809358533,0.321284572,,0.179257362,0.689413279,0.00669256
0.603475115,0.998943552,0.797414915,0.809338353,0.321036995,,0.173081268,0.689397525,0.009680132
0.599107799,0.998995317,0.79739278,0.809317651,0.320930891,,0.173608496,0.689365584,0.007094937
0.614278096,0.998973363,0.797519777,0.809443813,0.319763741,,0.17767568,0.689401247,0.004129824
0.622702835,0.998997397,0.797245033,0.809190188,0.319693004,,0.164419673,0.688702207,0.003461691
0.607042477,0.999017386,0.797403986,0.809317131,0.319551531,,0.17172554,0.689193385,0.005765533
0.60088067,0.998975443,0.797387938,0.809315698,0.320152791,,0.170671085,0.690046793,0.011513599
0.598444774,0.998953142,0.797404401,0.8093433,0.321426045,,0.171273631,0.689186893,0.012083789
0.625326107,0.999135707,0.797541635,0.809413346,0.324503077,,0.183927092,0.689473757,0.005322607
0.604411998,0.998970821,0.797896063,0.8097986,0.317853859,,0.176621225,0.689464524,0.003651962
0.61817697,0.999077471,0.797521852,0.80940918,0.322239513,,0.181215636,0.68929772,0.005565281
0.600347367,0.999027208,0.797446595,0.809361918,0.327120323,,0.183023273,0.689722823,0.003237108
0.635718301,0.999062103,0.797481041,0.809365173,0.322982245,,0.177525043,0.689680436,0.006854135
0.624317156,0.999098154,0.797546753,0.809430142,0.3219212,,0.176922498,0.689482067,0.017748884
0.608865795,0.999048353,0.797465409,0.809363741,0.324892127,,0.182646682,0.689417232,0.014383265
0.620944378,0.999101736,0.797474816,0.809371162,0.331470609,,0.181065,0.68943466,0.005068704
0.610206258,0.999022817,0.79742861,0.809341217,0.312301054,,0.175340815,0.689636752,0.004405561
0.60456334,0.99903079,0.797414638,0.809331582,0.32464455,,0.176093997,0.689369191,0.004202189
0.619402125,0.999045118,0.797269934,0.809203208,0.319657636,,0.166754538,0.689603339,0.002901482
0.626414333,0.999133049,0.79752614,0.80939616,0.326837377,,0.180387136,0.689385407,0.00426083
0.609290996,0.999097923,0.797498196,0.809386656,0.321956568,,0.17850418,0.689285803,0.010421254
0.603590424,0.999001441,0.797512721,0.809397983,0.322522459,,0.178353544,0.689389504,0.006195359
0.596945762,0.99893997,0.797084143,0.80903955,0.318914904,,0.158017624,0.689409471,0.001559601
0.597392583,0.998960422,0.797365942,0.80929031,0.317535545,,0.167959629,0.689628528,0.002200909
0.601860794,0.998824769,0.79677924,0.80871666,0.30848129,,0.067485125,0.68608465,0.00330885
0.595994465,0.998830778,0.797190527,0.809128475,0.31159369,,0.141372298,0.689456445,0.001948254
0.618083282,0.999003636,0.797388768,0.809315047,0.319799109,,0.17089704,0.689745704,0.003603302
0.600736534,0.998996588,0.797409381,0.80932976,0.320718681,,0.176545906,0.689278503,0.004127952
0.604635408,0.998959959,0.797393334,0.809313094,0.31997595,,0.170972358,0.689269559,0.01595971
0.597947506,0.998973941,0.797359994,0.809292133,0.323052982,,0.164645628,0.688829135,0.008819232
0.61047291,0.99898122,0.797447286,0.80936296,0.31997595,,0.173683814,0.689269472,0.004586475
0.619048992,0.999049393,0.797417128,0.809357362,0.318384381,,0.17217745,0.689915999,0.004285784
0.605932631,0.998981682,0.797349203,0.809271952,0.316898918,,0.167432402,0.689418963,0.004074926
0.600736534,0.998974172,0.797399836,0.80932364,0.319233218,,0.171800859,0.689580689,0.012617173
0.595122443,0.998914665,0.797293175,0.809229638,0.317853859,,0.165248174,0.689105756,0.007113029
0.620396662,0.999079897,0.797471081,0.809367517,0.322416354,,0.177901634,0.689540726,0.007555332
0.604102106,0.998996935,0.797609006,0.809525707,0.317677018,,0.173156587,0.68961993,0.004797333
0.61242595,0.99903391,0.797430962,0.809338613,0.324396972,,0.176922498,0.689362526,0.005557171
0.600635639,0.999038647,0.797468868,0.809370902,0.329207045,,0.191082323,0.689433708,0.004027514
0.636784906,0.999083826,0.797521575,0.80940241,0.325175073,,0.182420728,0.689531407,0.006890318
0.623985644,0.999043038,0.797556852,0.809427017,0.3234774,,0.176470588,0.68950186,0.014515519
0.608865795,0.999072271,0.797506634,0.809394598,0.324715286,,0.19078105,0.689411346,0.017508082
0.619330057,0.99906557,0.797491279,0.809392124,0.328959468,,0.182270091,0.689727583,0.004830397
0.607539745,0.999009067,0.79741616,0.809328588,0.313963359,,0.174738269,0.689348647,0.005371266
0.603900316,0.999034372,0.797439816,0.809355799,0.320612577,,0.181290954,0.689433015,0.003686273
0.618811168,0.998938237,0.797437049,0.809360486,0.318101436,,0.171800859,0.689437834,0.002341897
0.625599965,0.999143217,0.79760873,0.809465686,0.327438636,,0.189877231,0.689499552,0.006731862
0.607164992,0.999074813,0.797493492,0.809384443,0.3273679,,0.178428862,0.689329863,0.020715246
0.602869744,0.99897163,0.797586595,0.809451885,0.322239513,,0.179935226,0.689637589,0.009065025
0.604015624,0.998895484,0.797289993,0.809221956,0.299780717,,0.156661897,0.689480162,0.004555907
0.617867078,0.999021893,0.797242266,0.809177038,0.326165382,,0.155607441,0.685482212,0.004507247
0.597904265,0.998972901,0.797389322,0.809316349,0.324573813,,0.172252768,0.689254786,0.004593337
0.605291226,0.998967817,0.797391397,0.80931661,0.321673622,,0.17089704,0.689750955,0.017790682
0.596261116,0.998955453,0.797367187,0.809297731,0.315024404,,0.166151992,0.668014051,0.005203453
0.606213696,0.998957302,0.797473156,0.809389911,0.321779727,,0.176093997,0.689380848,0.004281417
0.619863359,0.999013111,0.797393334,0.80932312,0.31841975,,0.170746404,0.689216093,0.002724311
0.601550902,0.998944476,0.79739029,0.809314917,0.319763741,,0.17089704,0.689266298,0.005827917
0.598898802,0.998959844,0.797369816,0.809299033,0.320258895,,0.16878813,0.688822008,0.012711997
0.592499171,0.998880347,0.79731614,0.809249688,0.317500177,,0.165549446,0.689564906,0.006739348
0.620454316,0.999115486,0.797534026,0.809418815,0.327403268,,0.185508775,0.689658508,0.007297685
0.602783263,0.998981567,0.797889838,0.809784279,0.320435736,,0.178127589,0.689637358,0.005176004
0.609672956,0.999004098,0.797407168,0.809329239,0.329171677,,0.173683814,0.689296191,0.00580234
0.596780005,0.998991966,0.797417958,0.80933679,0.336280682,,0.182496046,0.68933901,0.005496658
0.63760648,0.999098501,0.797548137,0.809442771,0.326306854,,0.186864503,0.689501052,0.005575262
0.620526384,0.99902559,0.797426397,0.809322729,0.321673622,,0.171574904,0.689168455,0.015881106
0.602848124,0.999004907,0.7974578,0.809366215,0.315661031,,0.184604956,0.689419627,0.015493701
0.619575088,0.999092145,0.797536516,0.80941582,0.340241918,,0.187617685,0.689350811,0.005011934
0.605183125,0.998973825,0.79742031,0.809347206,0.322168777,,0.176093997,0.689497186,0.006108646
0.602682368,0.999017617,0.797446456,0.809357231,0.325245809,,0.183927092,0.689524222,0.004515981
0.615928451,0.998878499,0.797508295,0.809426757,0.317111127,,0.174135723,0.689366363,0.002811025
0.622919039,0.99912473,0.797580508,0.809451104,0.327686213,,0.187617685,0.689421589,0.008880992
0.605752461,0.999042576,0.797466654,0.809371683,0.32153215,,0.175868042,0.689529993,0.017612887
0.601089667,0.998949907,0.797558235,0.809436912,0.315837872,,0.177600362,0.689387282,0.008123026
0.604858819,0.999059792,0.797438018,0.809347206,0.326908113,,0.181516909,0.689434775,0.003171605
0.597652027,0.999009645,0.79738614,0.809313225,0.31781849,,0.170369812,0.689794813,0.002137277
0.607323542,0.999057135,0.797662406,0.809631036,0.322451722,,0.190555095,0.689593269,0.00366631
0.606120007,0.999064645,0.797605686,0.8095606,0.330904718,,0.195300143,0.689630606,0.004181602
0.595771055,0.998894906,0.797323748,0.809286013,0.318631959,,0.167959629,0.689096321,0.003300116
0.595662953,0.998905999,0.79723438,0.809200213,0.317853859,,0.156360624,0.688311556,0.003975735
0.603893109,0.999001672,0.797421278,0.809345644,0.320577209,,0.174060405,0.689377472,0.006787384
0.595064789,0.998916976,0.797331357,0.809274426,0.319268586,,0.166980493,0.689073295,0.021498165
0.598574497,0.998970128,0.797391812,0.809317131,0.322345618,,0.170972358,0.6891789,0.015549847
0.604642615,0.999118837,0.797548552,0.809421158,0.326271486,,0.185734729,0.689397612,0.004780489
0.60146442,0.998978909,0.797406476,0.809324682,0.323512768,,0.173759132,0.689175755,0.006925877
0.603237291,0.99907932,0.797497227,0.809422981,0.322557827,,0.179257362,0.689909997,0.007266493
0.600368988,0.998968625,0.797460567,0.809400978,0.318066068,,0.172102132,0.689223191,0.004560274
0.605406535,0.999007218,0.797439124,0.809350721,0.319763741,,0.174135723,0.689223479,0.008068752
0.586265296,0.998684264,0.796819774,0.808779546,0.311452218,,0.1446863,0.68787041,0.002215257
0.606682137,0.998995317,0.797362069,0.809283149,0.324184763,,0.168562175,0.688796818,0.004577117
0.594639588,0.998905537,0.797293037,0.809239142,0.318455118,,0.16072908,0.68837111,0.005754928
0.606307384,0.999007449,0.797445073,0.809357231,0.324892127,,0.174738269,0.689360708,0.010441217
0.604022831,0.998968279,0.79745282,0.809740012,0.343531159,,0.177299089,0.689262951,0.012906011
0.613312386,0.999125192,0.798036755,0.809861746,0.327792318,,0.189877231,0.68945832,0.045854144
0.605132677,0.999040265,0.797559342,0.809564115,0.322168777,,0.18739173,0.689541881,0.002189056
0.602869744,0.998972207,0.797711378,0.809725429,0.311452218,,0.189801913,0.691359841,0.00382539
0.605356088,0.999071809,0.797513828,0.809419466,0.326236118,,0.183625819,0.689420002,0.013050118
0.605644359,0.999035758,0.797466377,0.809373506,0.322062672,,0.186487911,0.689428831,0.006182883
0.611914268,0.999104856,0.797526971,0.809414258,0.321567518,,0.181667545,0.689300259,0.008826718
0.610422462,0.999072618,0.797527247,0.809428059,0.3219212,,0.194095052,0.689384022,0.007280842
0.600376195,0.998964466,0.797368986,0.809296429,0.313680413,,0.167959629,0.688673065,0.004731206
0.597306101,0.998903688,0.797310606,0.809237189,0.31841975,,0.165022219,0.689390658,0.002356869
0.605802909,0.999085328,0.797653137,0.809562683,0.330374195,,0.196053325,0.689608331,0.007199119
0.605817322,0.999072965,0.797575528,0.80948196,0.326625168,,0.190555095,0.689483567,0.007444912
0.601976102,0.99902351,0.797449085,0.809352154,0.318101436,,0.172704677,0.693658506,0.011252834
0.598495222,0.998963426,0.797380745,0.809307496,0.319763741,,0.169993221,0.689706636,0.009031338
0.603532769,0.999005485,0.797481595,0.809400978,0.318278277,,0.180161181,0.689486972,0.011377602
0.601918448,0.999030443,0.79750788,0.809410091,0.322133409,,0.178880771,0.689419771,0.01162901
0.597716888,0.998956493,0.797362207,0.809290049,0.317677018,,0.167733675,0.68819037,0.012723226
0.600455469,0.99906245,0.797462781,0.809360096,0.321602886,,0.178202907,0.689272704,0.00411298
0.604397584,0.999070423,0.797506773,0.809396551,0.32542265,,0.19545078,0.689638743,0.014148701
0.598704219,0.999013111,0.797219578,0.809146963,0.322380986,,0.156285305,0.679900334,0.003950781
0.601594142,0.999012649,0.797567643,0.809431574,0.319056377,,0.176470588,0.689353408,0.018433237
0.605572291,0.999038069,0.79746112,0.809363741,0.32153215,,0.176545906,0.689442191,0.014164297
0.598142089,0.998908194,0.797385172,0.809311662,0.317677018,,0.17006854,0.689400035,0.002354374
0.612858358,0.999101967,0.797636536,0.809525186,0.332142605,,0.194772916,0.689695931,0.006446767
0.593299125,0.998889707,0.797471911,0.809375068,0.323335927,,0.179407999,0.691015039,0.008117412
0.606386659,0.999001325,0.797483255,0.809400196,0.324432341,,0.177976953,0.689406239,0.013270334
0.603900316,0.998990117,0.79742363,0.809385354,0.323442032,,0.173683814,0.68935788,0.013822433
0.600426642,0.998958919,0.797440923,0.809374417,0.322416354,,0.171876177,0.689623941,0.050637128
0.605968665,0.999107398,0.797648295,0.809523233,0.334865955,,0.204338329,0.689589634,0.00675432
0.60355439,0.999019004,0.797421832,0.8093364,0.322840772,,0.17300595,0.691013163,0.006670726
0.604952507,0.999065223,0.79751286,0.809401108,0.323229822,,0.183851774,0.689380761,0.008503569
0.604015624,0.99902871,0.797489204,0.809390562,0.31686355,,0.18867214,0.689445769,0.008453038
0.609881953,0.999098732,0.797600706,0.80947532,0.325458018,,0.188521503,0.689487664,0.007454893
0.609233342,0.999080937,0.797501516,0.809396811,0.321390677,,0.191910823,0.689436535,0.008559091
